HolidayCountry,Date,HolidayName,UserDefinedColumn1
Saudi Arabia,8/22/2018,Haj and Eid Al Adha Holiday,
Saudi Arabia,8/23/2018,Haj and Eid Al Adha Holiday,
Saudi Arabia,9/23/2018,National Day Holiday,
Algeria,1/1/2019,New Year’s Day,
Argentina,1/1/2019,New Year’s Day - Año Nuevo,
Australia,1/1/2019,New Year's Day,
Austria,1/1/2019,New Year´s Day - Neujahr,
Belgium,1/1/2019,New Year's Day - Nieuwjaar/Nouvel An,
Brazil,1/1/2019,New Year’s Day,
Bulgaria,1/1/2019,New Year's Day - ???? ??????,
Canada,1/1/2019,New Year’s Day,
China,1/1/2019,New Year’s Day,
Colombia,1/1/2019,New Year - Año Nuevo,
Croatia,1/1/2019,New Year - Nova godina,
Czechia,1/1/2019,New Year's Day - Nový Rok,
Czechia,1/1/2019,Restoration of Day of the Independent Czech State - Den obnovy samostatného ?eského státu ,
Denmark,1/1/2019,New Year's Day - Nytårsdag ,
Estonia,1/1/2019,New Year's Day - 1. jaanuar – uusaasta,
Finland,1/1/2019,New Year's Day - Uudenvuodenpäivä,
France,1/1/2019,New Year  - Nouvel An,
Germany,1/1/2019,New Year's Day - Neujahr,
Greece,1/1/2019,New Year's Day - ???????????,
Hong Kong,1/1/2019,The first day of January,
Hungary,1/1/2019,New Year's Day - Újév,
India,1/1/2019,New Year's Day,
Ireland,1/1/2019,New Year's Day,
Ireland,1/1/2019,New Year's Day,
Italy,1/1/2019,New Year's Day - Capodanno,
Japan,1/1/2019,New Year's Day - ??,
"Korea, Republic of",1/1/2019,New Year's day - ??,
Latvia,1/1/2019,New Year's Day - Jaunais Gads,
Lithuania,1/1/2019,New Year's Day - Naujieji metai,
Mexico,1/1/2019,New Year - Año Nuevo ,
Netherlands,1/1/2019,New Year's Day - Nieuwjaarsdag,
Norway,1/1/2019,New Year's Day - Nyttårsdag,
Poland,1/1/2019,New Year - Nowy Rok ,
Puerto Rico,1/1/2019,New Year's Day,
Romania,1/1/2019,New Year's Day - Anul Nou,
Russia Federation,1/1/2019,New Year holidays,
Saudi Arabia,1/1/2019,New Years - ??? ????? ?????????,
Singapore,1/1/2019,New Year's Day,
Slovenia,1/1/2019,New Year's Day  - Novo leto,
Sweden,1/1/2019,New Year's Day - Nyårsdagen,
Switzerland,1/1/2019,New Year's Day,
"Taiwan, Province of China",1/1/2019,Founding Day of the Republic of China  - ?????????,
Thailand,1/1/2019,New Year’s Day,
United Kingdom,1/1/2019,New Year's Day,
United States,1/1/2019,New Year's Day,
Japan,1/2/2019,New Years Day - AABP Holiday,
Romania,1/2/2019,Day after New Year's Day - Anul Nou,
Russia Federation,1/2/2019,New Year holidays,
Slovenia,1/2/2019,The day after New Years day - Novo leto,
Switzerland,1/2/2019,Day after New Year's Day,
Japan,1/3/2019,New Years Day - AABP Holiday,
Russia Federation,1/3/2019,New Year holidays,
Japan,1/4/2019,New Years Day - AABP Holiday,
Russia Federation,1/4/2019,New Year holidays,
Austria,1/6/2019,Epiphany - Heilige Drei Könige ,
Croatia,1/6/2019,Epiphany/Three Kings' Day - Sveta tri kralja,
Finland,1/6/2019,Epiphany - Loppiainen,
Germany,1/6/2019,Epiphany - Heilige Drei Könige,
Greece,1/6/2019,Epiphany - ?????????,
Italy,1/6/2019,Epiphany - Epifania,
Sweden,1/6/2019,Epiphany  - Trettondagen,
Colombia,1/7/2019,Day of the Three Kings - Día de los Reyes Magos,
Puerto Rico,1/7/2019,Three Kings Day,
Russia Federation,1/7/2019,New Year holidays,
Russia Federation,1/8/2019,New Year holidays,
Japan,1/14/2019,Coming of Age Day - ????,
Puerto Rico,1/21/2019,Marin Luther King Jr's Birthday,
United States,1/21/2019,Martin Luther King Jr's Birthday,
Romania,1/24/2019,Unification Day - Ziua Unirii Principatelor Române,
Brazil,1/25/2019,Birthday of City of São Paulo (Office),
Australia,1/28/2019,Australia Day,
"Taiwan, Province of China",2/1/2019,Amgen Taiwan Shutdown - ,
"Korea, Republic of",2/4/2019,Lunar New Year's day - ??,
Mexico,2/4/2019,Mexican Constitution Day  - Día de la Constitución Mexicana ,
"Taiwan, Province of China",2/4/2019,Chinese New Year Eve - ????,
China,2/5/2019,Chinese New Year - ??,
Hong Kong,2/5/2019,Lunar New Year's Day,
"Korea, Republic of",2/5/2019,Lunar New Year's day - ??,
Singapore,2/5/2019,Chinese New Year,
"Taiwan, Province of China",2/5/2019,Chinese New Year - ??,
Hong Kong,2/6/2019,The second day of Lunar New Year,
"Korea, Republic of",2/6/2019,Lunar New Year's day - ??,
Singapore,2/6/2019,Chinese New Year,
"Taiwan, Province of China",2/6/2019,Chinese New Year Holiday - ??,
Hong Kong,2/7/2019,The third day of Lunar New Year,
"Taiwan, Province of China",2/7/2019,Chinese New Year Holiday - ??,
Slovenia,2/8/2019,Prešeren Day  - Prešernov dan,
"Taiwan, Province of China",2/8/2019,Extra holiday - ??,
Japan,2/11/2019,National Foundation Day - ??????,
Lithuania,2/16/2019,National Day of Lithuania - Lietuvos valstyb?s atk?rimo diena,
Canada,2/18/2019,Family Day,
Thailand,2/19/2019,Makha Bucha Day,
Estonia,2/24/2019,Independence Day - iseseisvuspäev,
"Taiwan, Province of China",2/28/2019,Peace Memorial Day  - ?????,
"Korea, Republic of",3/1/2019,Independence Movement day - ???,
"Taiwan, Province of China",3/1/2019,extra holiday - ??,
Bulgaria,3/3/2019,Liberation Day - ??? ?? ?????????????? ?? ????????,
Argentina,3/4/2019,Carnival - Carnaval,
Brazil,3/4/2019,Carnival,
Bulgaria,3/4/2019,Liberation Day Holiday - ??? ?? ?????????????? ?? ????????,
India,3/4/2019,Maha Shivaratri,
Argentina,3/5/2019,Carnival - Carnaval,
Brazil,3/5/2019,Carnival,
Brazil,3/6/2019,Carnival,
Greece,3/11/2019,Clean Monday - ?????? ???????,
Lithuania,3/11/2019,Independence Restoration Day - Lietuvos nepriklausomyb?s atk?rimo diena,
Hungary,3/15/2019,National Day (Revolution Day) - Nemzeti Ünnep,
Ireland,3/17/2019,St Patrick's Day,
Ireland,3/18/2019,St Patrick's Day,
Mexico,3/18/2019,Benito Juarez Day  - Natalicio de Benito Juárez ,
India,3/21/2019,Holi,
Japan,3/21/2019,Vernal Equinox Day - ????,
Argentina,3/24/2019,National Day of Memory for Truth and Justice - Día Nacional de la Memoria por la Verdad y la Justic,
Colombia,3/25/2019,St. Joseph's Day - Día de San José,
Greece,3/25/2019,Independence Day - 25? ???????,
Argentina,4/2/2019,Veterans Day and the Fallen in the Falklands War - Día del Veterano y de los Caidos en la Guerra de,
China,4/5/2019,Tomb-Sweeping Day  - ???,
Hong Kong,4/5/2019,Ching Ming Festival,
"Taiwan, Province of China",4/5/2019,Tomb Sweeping Day - ?????,
"Taiwan, Province of China",4/7/2019,Children Day - ???,
Thailand,4/8/2019,Chakri Day,
Denmark,4/14/2019,Palm Sunday - Palmesøndag,
Thailand,4/15/2019,Substitution Day of 13/04/2019,
Thailand,4/16/2019,Substitution Day of 14/04/2019,
Argentina,4/18/2019,Easter - Holy Thursday - Jueves Santo,
Colombia,4/18/2019,Holy Thursday - Jueves Santo,
Denmark,4/18/2019,Maundy Thursday - Skærtorsdag ,
Mexico,4/18/2019,Holy Thursday  - Jueves Santo ,
Norway,4/18/2019,Maundy Thursday - Skjærtorsdag,
Puerto Rico,4/18/2019,Holy Thursday,
Argentina,4/19/2019,Easter - Good Friday - Viernes Santo,
